,HC,HC,HC,HC,HC,HC,HC,HC,PC,PC,PC,PC,PC,PC,PC,PC,PC,SC,SC,SC,SC,SC,SC,SC,SC,SC
MIG,54.2,59.4,61.8,53.9,53.1,49.8,54.3,55.7,54.2,51.5,54.2,64.8,70.9,59.7,60.3,58.3,55.3,55.9,39.9,55.3,71.6,38.1,54.4,56.5,52.6,65.4
PDE11,156.4,170.4,755.1,163.1,237.7,195.9,192.6,250.1,242.6,154.6,163.2,194.3,182.6,179.6,140,201.3,152.2,255.9,188.7,185.4,158.5,145,219.2,154.2,298.8,346.9
TCTP,242.2,330.4,268.2,953,170.5,284,474.5,958.5,167.6,166.2,382.2,1236.1,158.5,253.8,283.1,300.2,220.4,1247.8,361.8,256.1,150.6,5895.5,178.8,393.7,1118,255.6
CEBPB,121.3,117,191.6,133.2,121.6,103.7,121.4,109.1,135.4,120.4,139.8,118.8,106.4,91.2,91.2,110,108.2,107.3,123.7,173.5,101.3,118.7,189.6,101,140.1,261.8
PDE9A,52.7,60.4,54.1,56.1,50.2,50.3,68.1,60,46.5,79,57.9,65.2,63.6,43.2,67.4,64.8,62.8,63.3,44.8,53.5,58.9,44.3,59.3,75.3,56.3,49.4
CBG,2332.7,2333.6,3370.1,4730.7,1401,5152.7,2659.2,3319.4,4667.1,1689,2640.1,2321.9,2294.6,3405,1824.7,3270.4,2320.8,5000.5,1317.2,4655.2,4028.9,1899.2,1522.7,905.4,2710.9,6008.7
Transketolase,3436.3,10564.7,3495.8,13866.3,842.2,9811.5,5500.1,15147.6,3662.2,286.9,4936.2,20109.8,802.5,903.1,6351.6,9604.8,2916.4,94281,6102,6854.1,102.5,34091.3,117.9,2847.6,37495.7,234
Protease nexin I,87.2,73.9,84.1,117.5,176.8,96.8,113.2,87.4,121,120.4,80.7,69.7,63,82.8,81.2,60.1,219.1,85,260.2,90.7,56.6,118.4,71,111.6,124.4,33.5
Keratin 18,118.7,275.1,188,126.9,1324,822.6,20137.2,3679.7,3929.3,517.3,6243.6,179.5,4021.7,1455.2,2408.5,122.4,1649.1,166.8,5239,91.7,368.3,1811.8,1561,22992.7,355.5,151.1
EphB4,473.5,349,1989.1,366.7,1056,626.2,444.1,470.8,638.9,1293.1,403.3,345,343.4,463.9,599.9,403.6,438.6,427.8,975.1,685.9,358.5,493.4,765.4,517.2,429,762.3
XPNPEP1,88.5,86.6,46.1,257.3,55.7,106.9,108.7,115.9,171.9,51,527.5,82.7,37.5,94.9,59.2,54.9,74.5,211.8,584.4,48.5,40.2,3083.5,34.1,78.1,133.6,31.6
CK2-A2:B,50.8,56.9,48.8,51.8,32.4,50,52.5,85.4,58.1,39.2,52.7,60.4,61,51.1,44.1,72.3,52,64.5,44.9,47.2,54.2,120.1,47.4,46.9,62.2,40
SLIK1,167.8,147.9,711.5,157.5,350.4,184.3,184.1,173.9,182.6,311,164.3,137.2,159.5,207,182.7,149.6,170,154.3,243.7,197,138.7,176.3,235.4,177.8,191.2,230.9
PKB a/b/g,71.6,60.2,54.7,84.6,99.1,87.7,71.8,64.5,57.6,76,78.4,85.3,62.3,64.8,54.5,57.8,82.7,56.2,98.4,68.9,72.8,120.6,46.9,86,68.6,41.9
DPP2,490.8,501.4,703.1,363,833.2,635.6,755.4,558,709.2,541.7,556.8,385.5,403.3,833,474,439.2,662.4,565.3,607.1,439.5,421.1,815,427.6,889.4,437.6,728.8
ARSB,1706,2785.3,184.3,171.3,149.8,168.9,113.3,173.9,121,162.8,113.6,1795.7,4383.8,115.1,114.3,154.7,176.7,252.9,141.3,126.6,212.8,110.5,450.4,222.7,141.5,288.1
Endostatin,134.6,68.4,54.7,94,81.5,86.8,97.3,65.3,60.2,88.8,75.1,64.6,58.3,65.8,100.3,56.3,163.6,90.5,104.9,58.5,83.1,309.9,78.8,238.3,71.7,42.9
NMT1,88.9,96.2,225.2,107.3,100.9,82.1,78.2,85.6,90.6,81.1,105.7,113.6,105.4,72.8,75.4,97.5,80.3,92.6,122.9,82.9,97.5,92.5,101.6,72.2,90.9,128.3
TNFSF18,72.5,77.3,70.3,69.9,105.3,73.1,72.8,65.9,77.1,77,75.2,63.6,66.4,83.8,68,63.1,70.8,66.5,77.1,80.5,62.5,63.5,76.4,73.4,90.3,64.4
TNF sR-I,72.2,109.9,62.9,166.2,79,85.5,94.9,70.9,53.9,119.1,77.4,170.2,44.8,93.3,124.3,80.6,263.7,115.7,72.4,52.9,572.5,993.9,58.6,331.6,90.9,37.5
IL-34,68.1,65.1,69.1,61.5,96.3,74.3,70.8,59.7,66.1,88.3,65.3,68,68.1,60.3,68.9,59.1,72.3,68,74.7,78.4,66.2,62,62.3,72.8,67.3,71.9
CD38,73.5,82.7,136.8,90.5,88,81.9,81.5,80,91,80.3,90.3,89.7,80,103.3,75.3,92.6,82,88.3,91.9,111.2,73.9,79.1,90.6,78.2,81.2,130.8
HSP 27,71.4,91.2,143.1,163.9,67.9,78.9,74,82.2,78.1,92.5,85.1,95.8,83.7,74.8,84.3,97,71.8,130,57.7,103.7,118.3,68.1,77.4,62.3,82.5,139.8
NAGK,78.3,74.8,73.3,134.4,64.3,61.3,74.1,84.3,84,60.3,74.6,90.3,57.7,58.1,66,85.2,77.8,106.7,143.8,65.7,63.1,78.4,53.6,62.6,236.5,37.5
DnaJ homolog,105.4,95.8,76.3,271.1,108.2,106.3,104.1,93.3,90.7,128.9,105.3,107.2,72,109.7,143.1,94.5,108.4,130.8,172.5,82.2,82.1,271.8,76.6,133.7,108.9,74.1
Somatostatin-28,377.5,399.1,623.8,741.5,546.8,759.9,397.8,568.8,618.1,783.7,809.6,296.6,393.5,462.9,1038.3,459.7,601.7,831.5,1534.4,520.6,281.9,591.5,390.1,493.6,530.9,770.8
Integrin a1b1,185.5,218.4,188.8,208.5,92.3,159.7,225.7,200.2,166.9,116,118.5,259,253.5,133.3,130.1,298,142.3,139.6,60.5,107,305,239.2,179.8,100.1,190.3,493.3
GPC5,113.7,120.2,150,111.2,103.2,101.7,105.3,111.3,109,99.4,102.6,131.2,139.7,111.6,93.9,153.6,91.5,112.7,65.4,112,131.8,78.1,115.6,86.6,104.7,204.3
Coagulation Factor VII,252.5,133.1,145.3,163.8,367.8,224.9,178.8,121.1,381.5,196,163.3,102.5,114.1,338.2,158.2,120.7,208.6,218.2,213.1,203.1,95.5,222.3,200.5,192.6,141,127.9
Periostin,48.7,52.7,37.2,55.1,35.5,41.3,51.1,53.6,50.4,45.6,46.5,48.4,54.7,47.3,50.4,52,87.3,45,41.7,37.3,52,119.9,48.3,61.2,50.1,46.9
ABL2,137.1,160.9,905.4,153.3,258.7,181.6,150.3,162.7,179.9,237,177.2,143.4,152.1,215.1,159.2,159.2,137.8,152.2,194,169.4,167.4,146.5,235.6,153.7,169.3,236.8
IL-6 sRa,304.3,104.8,69.4,103.3,266.2,217.9,213.8,107,123,137.5,144.2,64.5,118.1,184.2,166.2,65.6,323.6,78.3,119.1,127.8,64.4,114.1,177.8,722.5,163.7,109.8
SHC1,255.4,108.5,186.1,126,192.4,124.7,687,709.1,180,313.4,232.3,253.9,108.3,277.9,453.8,180.3,274.5,414.3,570.8,232.6,87.7,1067,123.9,342.4,434.6,122.9
MMP-1,60.6,68.6,100.1,70.5,65.5,74.4,59.1,66.7,70.2,52.5,67.3,77.2,79.7,61.2,54.9,91.1,55,84.2,64.7,72.9,72.6,59.7,125.8,49,67,69.1
DR6,51.8,60.8,86.1,117.1,56.9,47,49.7,64.9,53.5,61.6,64,162.5,66.1,48.8,74.5,76.7,41.6,72.6,40.3,53.9,561.9,177.4,63.1,42.5,65.6,52.9
b-NGF,62.6,76.1,73.2,67.6,56.2,65.1,67.1,74.3,63.6,57.8,63.3,76.3,81.1,56.9,59.6,80.9,59.2,68.8,49.6,59.6,79.2,53.6,81,57.5,64.1,103.5
a1-Antitrypsin,218,185.6,688.2,197.5,640.8,326.2,361.4,399,283.7,826.7,192.2,183.5,193,491,402.6,219.4,344.1,276.8,530.7,289.9,321.7,3842.8,353.9,418.2,250.7,318.4
CRDL1,51.5,44.4,44.1,45.3,65.4,58.7,46,46.7,43.3,52.2,44.7,51.2,48.9,48.1,39.5,46.4,57.6,87.6,53.4,120.6,47.5,59.6,40.7,47.4,42.6,30
IL-1 sRII,258.1,70.2,72.2,154.3,62.2,86.1,131.5,89.1,93.8,66.1,145.5,90.9,79.7,153.5,92.1,78.8,99.7,514.2,96.7,68.1,109.1,1167.2,69.7,108.1,73.9,85.7
ON,1697.2,1736.2,1535,1838.3,943.2,2009.4,1299.6,1776.8,1551.4,1284.9,1635.8,2115.9,1722.7,1591.9,1419.2,2407.3,1244.3,1606.5,1228.7,1486,4417.9,5545.1,1443.1,1255.8,1776.9,3655.2
WFKN1,94.7,64.1,49.5,60.3,65.2,70.4,91.2,61.6,59.9,69.7,72,53.1,67.8,70.7,76.6,53.5,98.5,57.5,53.5,64.3,52.4,50.8,66.6,83.6,73.8,100.1
MDM2,142.5,63.4,50.5,70.8,97.1,90.8,151.4,61.7,73.9,94.6,110.6,52.8,66.4,107.5,106.9,49.6,156.3,79.1,100.7,81.5,57.3,126.6,108.3,156.4,88,38.5
CD70,100.2,115.6,226.9,105.8,145.9,106,108.5,112.4,115.3,121.9,109.7,128.2,132.6,94.9,105.9,125.7,106.1,116.1,102.8,119.7,123.9,90.7,151.7,103,112.7,191.1
CgA,100.5,114.3,198,108.1,154.1,109.8,104.1,112.1,121.1,125.4,106.5,126.6,135.3,101.6,102.1,137.8,97.3,110.6,101.7,114.1,131.8,88.2,140.4,94.9,111.4,192.4
sTie-2,318.6,334.2,288.1,321.6,219,299.8,276.1,293.8,236.7,217.8,316.1,362.9,380.4,269.3,277.7,432.4,248.6,270.7,168.8,304.1,381.2,190.6,259.2,289.3,331.6,760.4
OPG,519.6,196.3,149,208.4,481,421.4,284.6,251.6,367.9,559.8,314.9,164.7,168.2,347,217.2,125.1,452.5,283.6,694.1,325.8,143.8,481.9,159.4,714.1,165.5,287.8
ATS1,153,77.7,52.5,71.1,128.9,128.6,149.7,85,81.4,132.6,114.3,57.1,70.1,126.5,141.6,65.1,192.1,78,93.8,90.1,53.8,97.2,92.7,205.5,105.2,57.9
LEAP-1,71.9,48.7,42.3,49.2,48.3,48.9,51.5,46.3,42.3,44.1,48.2,52.2,51.5,48.5,50,48.9,51.8,46.1,44.4,51.3,101.3,66.3,48.2,43.4,52.9,38.8
HCC-1,29.8,31.3,22.5,27,18.5,24.3,26.2,29.3,23.3,20.2,26.5,32.4,34,22.3,24.6,31.3,25.4,24.6,17.4,24.5,38.4,338.7,25.4,22.3,29.5,30
LGMN,241.2,213.5,2193.5,264.2,479.1,364.2,328.3,224,376.6,466.6,355,387.2,198.7,266.1,271.1,241.8,214.9,267.2,477.9,226.6,1768.6,446,347.7,281.7,206.8,336
BAD,156.6,109.2,141.1,122.5,161.2,124.2,249,450.8,114.6,220.3,155.3,105.3,111.6,1261.5,268.5,126,274,144.8,148.1,144.7,107.3,284,132.6,276.4,161.6,153.9
IGFBP-4,131.1,119.5,127.2,126.7,187.5,157.6,122.2,111.9,130.2,156.3,125,120.2,134,124.4,124.3,131.5,125.3,110.3,141.3,147,130,127.7,124.5,115.2,131.6,181.1
UBC9,175.6,125.7,114.9,272.7,240.2,169.6,218.4,174.2,141.1,280.9,139.7,157.4,108.6,263.3,279.2,107.3,334.2,166.9,236.6,147.6,113.1,342.3,126.4,299.1,186.4,93.5
TrkA,380.1,375.5,517.6,320.3,725.2,536.8,531.5,707.2,418.4,954.1,351,388.4,378.3,821.6,565.6,450.5,451.2,461,410.3,493.1,411.1,376.8,864.1,672.9,448.4,760.4
PCSK7,138.1,97.4,85.6,149.7,126.6,117.7,108.1,108,115.7,114.9,100.7,150.9,78.1,144,107,119.7,123.6,124,412.4,107.8,66.4,115.7,118.2,139.5,276.5,63.5
GRB2 adapter protein,346.6,361.2,295.7,263.7,89,250.3,262.2,787.6,259,331.2,290.2,740.9,183.9,191.4,459,362.3,150.3,436.9,680.5,216.9,114.5,742.6,121.6,197.3,829.4,78.8
PLPP,112,64.2,64.1,68,106.1,83.9,194.9,101.6,99.2,136.6,85.6,55.6,61.7,168.5,147.6,60.9,162.2,186.1,162.3,75.7,58.3,99.6,131.8,219.6,83.5,55.7
PECAM-1,115.6,97.8,115.4,117.2,173.1,149,114,103.4,131,161.9,115.5,80,83.9,148.4,129.1,92.6,149.9,105.5,182.8,129.6,80.7,108.1,127.2,139.6,106.1,100.7
ULBP-2,71.5,87.6,97.2,80.5,62.1,72.4,68.4,82.6,83.9,67,80.3,85.1,91.5,72.7,65.7,90.7,59,74.3,61,89,86.7,68.3,102.3,60.7,86.4,92.6
EPO-R,54.9,62.3,57.9,64.8,44.3,49.2,53.5,54.2,44.3,49.5,60.9,68.1,62.9,44.4,49.4,72.7,46.6,80.6,37,61.6,54.7,41.5,56,51,63.2,47.5
LYPD3,96.5,113,176.7,104.7,103.2,96.5,102.2,110.8,117.6,135.1,113.5,134.7,105,199.8,99.6,123.2,108.8,103,89.7,104.7,162.3,2303.2,117.1,100.5,91.4,171.4
Coagulation Factor IX,39.8,46.1,44.5,40,35.2,36.4,56.8,43.4,37.6,38.3,44.7,48.9,54.8,49.6,45.5,46.6,51.7,40.8,30.1,35.2,46.7,43.9,40.8,51.4,44.9,30.3
eIF-5A-1,138.9,151.6,230,146.9,220.8,145.6,146.9,146,160.7,200.9,148.3,153.9,168.9,153.2,158.8,167,137.4,150.5,149.3,165,156.6,145.5,220.8,138.6,143.7,242.1
Angiopoietin-2,33.1,34.1,30,34.6,23.2,32.7,31.9,31,32.7,25.5,30.7,34.4,39,31,30.9,20.2,32.2,30.7,26.7,33.3,35.8,64.4,30,30.7,35.1,30.3
Angiopoietin-1,109.1,101.6,78.6,91.7,103.5,96.6,123.5,98.1,173.2,125.1,142.4,98.7,109.9,158.1,136.6,117.9,171.9,87.5,118.6,77.8,98.1,123.4,97.6,133.6,91.2,130.1
HCE000483,285.3,286.4,283.8,288.6,284.2,284,286.9,284.6,293.3,288.5,286.1,290.3,287.1,289.9,280.5,290.2,291.6,284.6,286.2,283.6,287.4,283,288.3,290,289.4,256.5
MPIF-1,80.6,101.8,124.5,126.3,49.9,74.2,52.6,84.1,67.3,57.9,63.3,83.5,63,54.5,54.5,64.7,49.8,80,67.9,72.5,532.4,145.8,92.9,52.6,73.1,57.9
DHH,70.7,68,52.1,62.2,69.3,65.3,80,75.7,86.4,91,71.2,62.6,66.5,108,117.6,67.6,91.1,73,84.9,59.3,59.5,73.9,62.7,123.4,70.7,55.4
Nogo Receptor,83,100.5,78.5,79.1,52.7,76.8,65.9,155.8,46.5,48.8,58.1,234.5,53.4,47.9,53.9,119.4,49.2,65.9,51,59,389.2,168.9,101.3,45.8,160.5,31.3
PAK6,38.8,38.7,43.1,51,59.3,52.6,60.3,42.4,56.9,82,44.8,39,41.4,56.7,75.3,36.1,237.1,59.3,68.9,40.3,50.6,59,44.1,160.9,34,33.5
Ficolin-3,42.2,50,54.6,49.5,37.5,37.8,38.3,43.6,44.1,38.8,46.4,50.8,51.2,39.8,41.9,53,36.4,41.6,48.2,46.9,50.7,43,234.6,37.8,45.6,34.1
MMP-2,74.8,55.2,46.2,62,58,65,77.4,96.5,53.5,71.3,65.7,52.4,57.6,161,92.9,56.2,114.9,62,62.2,50.8,55.3,574.1,54.3,112.7,72.2,52.6
KI3S1,63,72.4,123.4,65.5,113.5,69.7,70.4,80.9,69.5,95.7,64.5,77.1,85,70.2,69.1,82.2,65.6,76,70.4,74.2,70.3,53.2,82.3,65.4,76.2,75.1
Desmoglein-1,177.1,135.3,173.3,146.8,258,163.5,143,147.5,144.4,213.2,152.6,134.9,180.9,132,153.2,155.2,196,146.8,172.2,189.3,126.5,151.6,117.4,153,149.4,238.4
Troponin I,100.8,106.1,138.8,106.1,113.1,138.4,110.8,108.2,299,121.7,132.6,117.6,119.7,101.4,120.1,134.4,90.8,118.3,94.2,114.2,118.6,533.3,99.7,80.3,99.7,171.1
Eotaxin,59.3,60.7,62.9,61.5,84.2,66.4,57.7,63.2,69.6,82.3,64.5,58.5,64.2,76.6,69.8,46.4,63.7,60.5,61.7,68.6,61.7,53.3,58.6,65,73.2,74.8
IgD,42.1,51.5,62.2,48.2,31.7,42.4,40.5,54.4,42.4,36.4,44.9,47,53.9,42.1,37.1,53.5,34.8,60.2,32.5,46.8,49.2,60.2,42.3,35.3,43.8,41.6
Plasminogen,60.2,49.5,50.4,58.3,50.7,49.5,219.5,57.2,47.5,50.2,56.8,46.9,50.8,52.9,56.5,59.1,61,61.6,46,53.9,58.9,793,45.3,65.4,58.7,32.8
PSA2,70,71.7,58.3,75.9,78.8,69,82.2,63,75.2,58.7,103.8,62.2,56,84.5,50.7,69.2,73.1,54.7,92,73.6,86.4,80.6,58.9,54.7,75.4,43.2
IGFBP-3,69.2,77.1,82.3,71.7,109,78.5,79,71.1,77,86.4,75.3,85.8,79.8,67.8,72.1,68,78.5,75.1,85,77.8,81.6,76.5,67.6,67.6,78,84.1
Angiogenin,100,215.2,123.3,176.6,44.9,80.2,69.8,197.3,65.2,67.9,64.6,108.6,59.6,63,75.9,119.7,60.5,441.2,74.9,75.8,437.9,927.4,56.1,69.2,80.8,48.8
IL-1a,239.3,306.9,292.9,874.2,161.1,378.1,299.1,346,246.6,258.7,249.5,205.1,202.6,182.3,211.1,209.9,317.6,192.4,628.5,470.5,231.7,291.2,166.1,194.1,394.4,575.9
MASP3,139,165.6,710.1,439,204.5,162.2,192.9,179.6,180.9,173,147.3,157.5,157.3,118.9,142.6,154.3,189.9,164,206.2,269.2,149.6,140.8,261.3,126,254.8,275.9
NEGR1,106.6,122.1,155.6,120.2,131.6,127.1,121.3,118,178.8,148.9,203.7,123.2,121.5,130.3,120.4,133.2,128.6,121.9,119.3,169.4,118.3,107.9,126.1,136.6,107.7,190.5
MDHC,921.4,4605,1612,19373.6,158.4,444.8,421.3,6410.2,129.6,141,154.6,4275.8,655.6,297.9,245.9,3099,758.7,481.3,2184.1,1063.9,336.4,20732,161.9,153.4,10693.4,1640.1
Cadherin E,586.7,526,235.2,666.5,246.5,318.9,753.9,937.3,316.1,397.5,463.4,157.6,150.5,591,254.3,390.1,528.4,631,936.2,188.6,481.1,2718.4,236.6,594.8,504.9,259
C7,107.7,94.4,101.5,99.6,143.6,105.3,88.3,84.7,90.1,99.6,103.9,93.7,90.2,88.9,90.7,90.1,91.9,90.7,106.4,103,165.4,1635.6,87.2,82.5,85.7,96
"Myokinase, human",130.6,75.1,113.9,64,47.5,55.9,58.3,226.5,74.9,47.4,59.6,57.9,71.1,98.9,51.2,67,53,65.5,41.8,139.2,59.2,178.5,93.6,165.2,89.3,32.8
CD244,82.2,86.8,63,72.6,61.4,59.8,88.6,76.3,57.3,69.6,58.1,89,87.5,89.8,83,103.7,137.3,63.6,42.8,48.9,89.9,51.3,74.4,108.9,68.9,170.2
Coagulation Factor X,64,72.6,93.2,69.4,76.3,62,60.4,69.5,62.3,56.2,60.6,91,81.6,59.2,55.5,81.2,51.9,65.2,51.8,88.1,76,51.7,98.8,52.6,86.1,90.7
Cathepsin A,199.5,63.9,55.1,233.1,143.5,353.2,141.1,58.8,547,137.6,925.4,66.9,68.4,369.8,154.2,61.3,265.3,149,201.1,61,203.9,177.6,58.6,388.1,63.4,69.1
Triosephosphate isomerase,684.9,1502.9,516.9,1896.7,330.5,1525.5,973.5,2210.7,610.6,300.7,832.5,2861,219.1,455.3,1085.8,1308.3,900.8,13774.9,1026.6,953.9,104.6,4902.4,159.5,902.5,4905.7,143.9
Rab GDP dissociation inhibitor beta,1952.7,1164.1,1440.6,4284,1018.3,2028.1,3136.4,6630.1,1713.6,1052.1,1629.8,2416.3,147.6,937.5,3746.2,2194.8,1633.5,11014.4,4233.5,2184.6,80.5,13098.4,287,1520.5,10351.4,117.9
Fractalkine/CX3CL-1,60.5,48.2,47.3,59,73.7,71.1,53.6,59.6,43.3,58.2,54.7,65.9,72.3,42.9,36.1,53.9,61.4,52.4,61.6,66.3,66.9,60.6,36.4,49.4,50.4,82.3
Trypsin,78922.8,67629.7,190163.9,68680.9,13283.7,13371.9,16298.8,160055.3,22618,2650.4,17159.5,423194.3,64047.1,16752.6,3370.1,482530,7799.2,10381.6,19662.6,337047.7,67932.2,1068.1,348265.6,14344.4,385707.7,73725.1
ENTP3,243.3,121.3,122.8,140.6,267.5,239.8,215.7,116.3,180.4,230.1,164,94.8,95.1,194.4,195.2,99,261.1,129.7,339.4,166.3,91.5,215.8,244.2,253.5,159.7,93.2
GFAP,81.8,77.9,157.7,109.1,83.8,139,82.5,94.2,93.3,93.7,156.6,83.5,87.3,130.8,110.8,128.2,88.9,113.7,146.8,196.7,78.2,75.3,82.7,67.5,96.2,84.5
C4,179.2,51.1,43,2915.5,66.6,189.8,164.6,65.3,742.6,273,2994.4,44.1,44.8,192,178.3,43.2,219.6,586.6,1789.8,33.6,726.5,53974.9,46.8,162.7,36.6,28.8
PDE4D,83.6,79.7,145.8,81.4,161.1,190,82.9,74.3,124.4,110.7,127.5,83.8,91.8,182.2,122.5,80.6,111.2,119.6,206.3,110.3,70,132.6,103.8,92.8,85.6,50.7
ERAB,110.7,76.7,62.4,83.2,109.4,89.6,132.6,92.4,89.5,140.2,99.6,65.2,77.1,269.8,178.9,59.6,386,97.1,120,72.6,64.6,438.3,85.2,288.2,79.4,84.5
DRAK2,149.5,163.2,1652.8,156,339.3,178,160.4,159.3,200.2,209.3,157,173.3,174.8,137.1,148.1,171.3,145.3,168.5,236.5,182.2,150.3,150.6,272.3,156.3,165.1,302.8
Glutamate carboxypeptidase,230.5,102,92.1,120.4,217.6,176.7,178.2,96.1,130.5,164.1,137.3,90.7,115,132.4,144.7,83.6,194.5,104.5,196.9,162.5,75.5,182.3,119.9,245.8,126.6,62.2
ARGI1,1654.5,1558.7,1338.1,1543.6,742.6,1284.6,1346.7,1445.8,1867.8,963.5,1353.6,1843.8,2046.4,1402,1052.6,2092.4,1077.7,1319.6,661.2,1353,1969.1,1474.5,1376.3,703.3,1579.4,4371.5
sICAM-1,281.4,380.7,298.4,276.9,171.4,288.5,236.6,296.7,273,187,252.9,385.4,332.3,313.3,230.1,389.7,304.4,270.8,207.3,254.9,316.8,316,278.4,247.1,273.6,518.3
NG36,128.4,120.2,261.5,220.9,154.4,216.3,141.8,173.3,205.2,194.4,127.3,117.9,115,206.6,129.7,221.3,171.9,257.6,293.8,272.9,122.5,292.4,105.2,117.9,146.4,142
VAV,170.2,108.2,102.7,108.3,155.4,115.9,476.6,284.2,96.4,205.8,141.2,86.5,96,162.7,239.8,98.7,971.9,117.5,121.8,121.9,89.6,213.6,125.8,261.1,219.4,128.3
PAK7,209.9,130.6,103.8,132.7,186.5,161.5,183.8,124.7,123.2,175.9,175.4,105.9,112.8,123.5,185.1,113.3,260.1,112.8,177.4,118.8,115.4,217.5,169.3,251.2,156.1,164.5
Myostatin,81.5,101.5,364.6,93.4,156.3,95.4,97,86.1,109.2,79,93.4,117.9,126.8,78.7,82.9,105.7,91.9,91.9,96.1,93.5,101.7,88.2,157.5,115.1,89.2,154.5
BARK1,83.2,69.7,58.4,68.3,65.9,66.8,83,70.1,61,119.4,66.5,66.1,76.3,61.3,198,75.5,317.6,67.2,54,72.5,68.6,63.5,66.6,159.1,66.3,84.8
HVEM,98.4,117.5,146.9,109.1,83.1,99.4,95.7,103.6,98.7,89.9,101.3,117.2,116.8,98.2,84.2,131.4,80.4,97,69.4,121.1,115.4,77.4,111.8,70.8,107.2,197.7
PDXK,51.1,50,50.9,50.5,47.9,48.2,74.2,58.7,46.3,44,73.7,60.3,54.2,50.2,58.5,57.8,60.5,95.7,247,47.8,44.5,1062,42.6,61.1,71.3,35
INGR2,68.9,75.6,124.9,79.5,93.4,70.2,68.6,79.7,72.6,75.7,71.3,83.9,86.9,96.2,74.2,82.7,76.1,77.4,68.5,76.7,80,55.5,97.1,121.9,78.3,90.7
FGFR-3,102,109.8,167.8,116.9,180.8,137,115.9,112.4,152.5,163.3,156.9,116.4,111.3,131.5,113.9,135.3,122.4,133.9,155.7,175,99.9,110,127.8,117.8,111.2,143.3
MP2K2,183.2,111,356.4,157,174.3,198.7,145.4,117.8,235,210.9,216,94,143.7,272.3,256.1,112.5,159.3,116.6,136.5,212.5,89.6,466.6,266.1,180.2,132.7,121.1
DEAD-box protein 19B,240,213.9,230.1,544.4,191.8,293.2,185.3,349.3,380.9,266.1,349.9,230.7,187.3,406.5,196.7,412.4,210.5,192.6,224.6,338.2,238,477.7,165.6,228.2,402.2,332.2
Galectin-7,280.9,523.6,399.4,246.8,292.7,650.5,223.2,230.9,303.1,248.5,349.4,262.3,386.1,286,472.2,323.4,502.5,335.5,318.8,630.4,151.9,293.4,384.5,265.4,263,317.5
Cyclophilin F,89.9,291.9,146.1,1330.3,129.1,89.7,181.2,251.3,99.3,121.4,101,212.8,75.8,619.7,156.6,227.6,155.5,701.6,284.6,111.9,76,171.7,100.8,146.2,296.6,116.4
HCE003300,2175.2,2173.9,2177.5,2208,2193.1,2180.4,2177.9,2150.2,2218.6,2175.1,2182.8,2194.5,2162,2157,2169.7,2227.8,2193.9,2201.2,2179.4,2175.5,2155.2,2189.6,2184.2,2171.9,2149.7,2179.5
GPDA,75.4,94.5,156.6,95.4,102,98.4,105.6,91.8,97.2,80.8,89.7,106,91.5,122.3,78.8,111.1,93.2,101,96.1,113.2,85.6,735.5,85.2,69.2,84.4,130.4
SE6L2,51.6,43,48.2,46,69.9,60.4,86.1,57.9,42.9,90.6,45.8,37.4,39.3,124.2,76.8,41.9,75,95.1,72.1,47.9,40.9,52.4,62.5,100,48.8,31.9
PDGF-AA,96.1,79.1,79,83.5,150.1,101.7,105,94.3,96.5,144,98.1,76.3,82.6,98.3,124.3,83.6,125.5,81.6,114.5,91,84.7,125.2,81,137.2,85.5,71.9
ESAM,61.1,69,50.4,79.5,53.2,67.8,65.4,68.5,70.9,71.2,68.3,73.5,58,71.5,59.6,55.8,58.4,115.7,65.5,56.7,133.6,369.6,49.4,49.1,72.1,52.9
IGF-I,151.8,103.7,117,114.4,206,168.4,145,107.8,119.7,176.2,107.3,92.2,105.4,205.9,132.3,90.4,199,135.2,197.5,320.2,81.2,152.6,94,187.2,136.8,112.9
Hemoglobin,39.4,51.4,51.7,51.6,47,45.3,42.6,108.8,38.7,51.1,43.7,52.1,49.5,52.1,43.9,58,61.4,44.9,49,40.2,90.4,43.6,46.4,432.7,59.1,29.4
UBP25,66.4,75.1,213.1,69.2,122,73.8,69.4,71.2,80,80.3,68.9,104,100.9,63.7,64.6,75.5,68.1,79.5,77.6,65.7,216.9,67.8,133.7,69.1,70.8,107.6
AN32B,293.3,310.4,152.8,289.8,160.5,231,356.6,1361.7,213.7,677.9,208.3,190.8,249.6,321,1095.5,253.7,3791.2,206.7,158.7,205.1,455.5,186.8,188.1,1613.8,497.7,1032.3
Lysozyme,7214.9,7326.8,8504.1,6273.4,550.3,5507.5,590.1,9228.3,6525.7,1491.9,1306.4,58068.5,2381.4,851.5,1021.8,28802.3,1450.9,1190.9,939.1,1628.1,63561.7,11641,7957.2,1098.9,3936.3,3117.8
Cystatin C,273.1,85.5,52.8,121.6,34.3,59.8,81.1,514.4,584.6,72.2,103,171.8,56,674.8,81.3,69.7,41.2,202.8,178.4,54.4,453.3,353.9,43.2,43.8,69.6,34.7
Chymase,72.9,73,70.6,71.1,115.6,70.1,82.7,69.2,80.1,108.7,68.4,69,81.4,66.7,94,64.8,80.9,98.1,98.9,69.6,60.5,57.8,1051.1,86.4,72.5,63.8
